"","No.Var1","No.Freq"
"1","Acidobacteriota_CTRAS",2
"2","Acidobacteriota_CTRH",1
"3","Acidobacteriota_MPRAS",6
"4","Acidobacteriota_MPRH",4
"5","Actinobacteriota_CTRAS",324
"6","Actinobacteriota_CTRH",1239
"7","Actinobacteriota_MPRAS",1559
"8","Actinobacteriota_MPRH",2750
"9","Bacteroidota_CTRAS",16
"10","Bacteroidota_CTRH",78
"11","Bacteroidota_MPRAS",4
"12","Bacteroidota_MPRH",36
"13","Firmicutes_CTRAS",21
"14","Firmicutes_CTRH",105
"15","Firmicutes_MPRAS",23
"16","Firmicutes_MPRH",56
"17","Gemmatimonadota_CTRAS",2
"18","Proteobacteria_CTRAS",643
"19","Proteobacteria_CTRH",1001
"20","Proteobacteria_MPRAS",946
"21","Proteobacteria_MPRH",609
"22","Verrucomicrobiota_CTRAS",2
"23","Verrucomicrobiota_CTRH",7
"24","Verrucomicrobiota_MPRAS",4
"25","Verrucomicrobiota_MPRH",2
