Sample,Soil_Type,Year,Tillage,Int,Block,ID2
FS.CT.Ext.C1.2020.trimmed,RAS,2020,CT,Ext,1,FS.CT.Ext.C1.2020.trimmed
FS.CT.Ext.C2.2020.trimmed,RAS,2020,CT,Ext,2,FS.CT.Ext.C2.2020.trimmed
FS.CT.Ext.C3.2020.trimmed,RAS,2020,CT,Ext,3,FS.CT.Ext.C3.2020.trimmed
FS.CT.Ext.C4.2020.trimmed,RAS,2020,CT,Ext,4,
FS.CT.Int.C1.2020.trimmed,RAS,2020,CT,Int,1,FS.CT.Int.C1.2020.trimmed
FS.CT.Int.C2.2020.trimmed,RAS,2020,CT,Int,2,FS.CT.Int.C2.2020.trimmed
FS.CT.Int.C3.2020.trimmed,RAS,2020,CT,Int,3,FS.CT.Int.C3.2020.trimmed
FS.CT.Int.C4.2020.trimmed,RAS,2020,CT,Int,4,FS.CT.Int.C4.2020.trimmed
FS.MP.Ext.C1.2020.trimmed,RAS,2020,MP,Ext,1,FS.MP.Ext.C1.2020.trimmed
FS.MP.Ext.C2.2020.trimmed,RAS,2020,MP,Ext,2,FS.MP.Ext.C2.2020.trimmed
FS.MP.Ext.C3.2020.trimmed,RAS,2020,MP,Ext,3,FS.MP.Ext.C3.2020.trimmed
FS.MP.Ext.C4.2020.trimmed,RAS,2020,MP,Ext,4,FS.MP.Ext.C4.2020.trimmed
FS.MP.Int.C1.2020.trimmed,RAS,2020,MP,Int,1,FS.MP.Int.C1.2020.trimmed
FS.MP.Int.C2.2020.trimmed,RAS,2020,MP,Int,2,FS.MP.Int.C2.2020.trimmed
FS.MP.Int.C3.2020.trimmed,RAS,2020,MP,Int,3,FS.MP.Int.C3.2020.trimmed
FS.MP.Int.C4.2020.trimmed,RAS,2020,MP,Int,4,FS.MP.Int.C4.2020.trimmed
RH.CT.Ext.C1.2020.trimmed,RH,2020,CT,Ext,1,RH.CT.Ext.C1.2020.trimmed
RH.CT.Ext.C2.2020.trimmed,RH,2020,CT,Ext,2,RH.CT.Ext.C2.2020.trimmed
RH.CT.Ext.C3.2020.trimmed,RH,2020,CT,Ext,3,RH.CT.Ext.C3.2020.trimmed
RH.CT.Ext.C4.2020.trimmed,RH,2020,CT,Ext,4,RH.CT.Ext.C4.2020.trimmed
RH.CT.Int.C1.2020.trimmed,RH,2020,CT,Int,1,RH.CT.Int.C1.2020.trimmed
RH.CT.Int.C2.2020.trimmed,RH,2020,CT,Int,2,RH.CT.Int.C2.2020.trimmed
RH.CT.Int.C3.2020.trimmed,RH,2020,CT,Int,3,RH.CT.Int.C3.2020.trimmed
RH.CT.Int.C4.2020.trimmed,RH,2020,CT,Int,4,RH.CT.Int.C4.2020.trimmed
RH.MP.Ext.C1.2020.trimmed,RH,2020,MP,Ext,1,RH.MP.Ext.C1.2020.trimmed
RH.MP.Ext.C2.2020.trimmed,RH,2020,MP,Ext,2,RH.MP.Ext.C2.2020.trimmed
RH.MP.Ext.C3.2020.trimmed,RH,2020,MP,Ext,3,RH.MP.Ext.C3.2020.trimmed
RH.MP.Ext.C4.2020.trimmed,RH,2020,MP,Ext,4,RH.MP.Ext.C4.2020.trimmed
RH.MP.Int.C1.2020.trimmed,RH,2020,MP,Int,1,RH.MP.Int.C1.2020.trimmed
RH.MP.Int.C2.2020.trimmed,RH,2020,MP,Int,2,RH.MP.Int.C2.2020.trimmed
RH.MP.Int.C3.2020.trimmed,RH,2020,MP,Int,3,RH.MP.Int.C3.2020.trimmed
RH.MP.Int.C4.2020.trimmed,RH,2020,MP,Int,4,RH.MP.Int.C4.2020.trimmed
FSCTExtC1.2021.trimmed,RAS,2021,CT,Ext,1,FSCTExtC1.2021.trimmed
FSCTExtC2.2021.trimmed,RAS,2021,CT,Ext,2,FSCTExtC2.2021.trimmed
FSCTExtC3.2021.trimmed,RAS,2021,CT,Ext,3,FSCTExtC3.2021.trimmed
FSCTExtC4.2021.trimmed,RAS,2021,CT,Ext,4,FSCTExtC4.2021.trimmed
FSCTIntC1.2021.trimmed,RAS,2021,CT,Int,1,FSCTIntC1.2021.trimmed
FSCTIntC2.2021.trimmed,RAS,2021,CT,Int,2,FSCTIntC2.2021.trimmed
FSCTIntC3.2021.trimmed,RAS,2021,CT,Int,3,FSCTIntC3.2021.trimmed
FSCTIntC4.2021.trimmed,RAS,2021,CT,Int,4,FSCTIntC4.2021.trimmed
FSMPExtC1.2021.trimmed,RAS,2021,MP,Ext,1,FSMPExtC1.2021.trimmed
FSMPExtC2.2021.trimmed,RAS,2021,MP,Ext,2,FSMPExtC2.2021.trimmed
FSMPExtC3.2021.trimmed,RAS,2021,MP,Ext,3,FSMPExtC3.2021.trimmed
FSMPExtC4.2021.trimmed,RAS,2021,MP,Ext,4,FSMPExtC4.2021.trimmed
FSMPIntC1.2021.trimmed,RAS,2021,MP,Int,1,FSMPIntC1.2021.trimmed
FSMPIntC2.2021.trimmed,RAS,2021,MP,Int,2,FSMPIntC2.2021.trimmed
FSMPIntC3.2021.trimmed,RAS,2021,MP,Int,3,FSMPIntC3.2021.trimmed
FSMPIntC4.2021.trimmed,RAS,2021,MP,Int,4,FSMPIntC4.2021.trimmed
RHCTExtC1.2021.trimmed,RH,2021,CT,Ext,1,RHCTExtC1.2021.trimmed
RHCTExtC2.2021.trimmed,RH,2021,CT,Ext,2,RHCTExtC2.2021.trimmed
RHCTExtC3.2021.trimmed,RH,2021,CT,Ext,3,RHCTExtC3.2021.trimmed
RHCTExtC4.2021.trimmed,RH,2021,CT,Ext,4,RHCTExtC4.2021.trimmed
RHCTIntC1.2021.trimmed,RH,2021,CT,Int,1,RHCTIntC1.2021.trimmed
RHCTIntC2.2021.trimmed,RH,2021,CT,Int,2,RHCTIntC2.2021.trimmed
RHCTIntC3.2021.trimmed,RH,2021,CT,Int,3,RHCTIntC3.2021.trimmed
RHCTIntC4.2021.trimmed,RH,2021,CT,Int,4,RHCTIntC4.2021.trimmed
RHMPExtC1.2021.trimmed,RH,2021,MP,Ext,1,RHMPExtC1.2021.trimmed
RHMPExtC2.2021.trimmed,RH,2021,MP,Ext,2,RHMPExtC2.2021.trimmed
RHMPExtC3.2021.trimmed,RH,2021,MP,Ext,3,RHMPExtC3.2021.trimmed
RHMPExtC4.2021.trimmed,RH,2021,MP,Ext,4,RHMPExtC4.2021.trimmed
RHMPIntC1.2021.trimmed,RH,2021,MP,Int,1,RHMPIntC1.2021.trimmed
RHMPIntC2.2021.trimmed,RH,2021,MP,Int,2,RHMPIntC2.2021.trimmed
RHMPIntC3.2021.trimmed,RH,2021,MP,Int,3,RHMPIntC3.2021.trimmed
RHMPIntC4.2021.trimmed,RH,2021,MP,Int,4,RHMPIntC4.2021.trimmed
Run20200122Order306Sample130,RAS,2019,MP,Int,3,
Run20200122Order306Sample131,RAS,2019,MP,Int,4,Run20200122Order306Sample131
Run20200122Order306Sample132,RAS,2019,MP,Ext,1,Run20200122Order306Sample132
Run20200122Order306Sample133,RAS,2019,MP,Ext,2,Run20200122Order306Sample133
Run20200122Order306Sample134,RAS,2019,MP,Ext,3,Run20200122Order306Sample134
Run20200122Order306Sample135,RAS,2019,MP,Ext,4,Run20200122Order306Sample135
Run20200122Order306Sample136,RAS,2019,CT,Int,1,Run20200122Order306Sample136
Run20200122Order306Sample137,RAS,2019,CT,Int,2,Run20200122Order306Sample137
Run20200122Order306Sample138,RAS,2019,CT,Int,3,
Run20200122Order306Sample139,RAS,2019,CT,Int,4,Run20200122Order306Sample139
Run20200122Order306Sample140,RAS,2019,CT,Ext,1,Run20200122Order306Sample140
Run20200122Order306Sample141,RAS,2019,CT,Ext,2,Run20200122Order306Sample141
Run20200122Order306Sample142,RAS,2019,CT,Ext,3,Run20200122Order306Sample142
Run20200122Order306Sample143,RAS,2019,CT,Ext,4,Run20200122Order306Sample143
Run20200122Order306Sample144,RH,2019,MP,Int,1,Run20200122Order306Sample144
Run20200122Order306Sample145,RH,2019,MP,Int,2,Run20200122Order306Sample145
Run20200122Order306Sample146,RH,2019,MP,Int,3,
Run20200122Order306Sample147,RH,2019,MP,Int,4,Run20200122Order306Sample147
Run20200122Order306Sample148,RH,2019,MP,Ext,1,Run20200122Order306Sample148
Run20200122Order306Sample149,RH,2019,MP,Ext,2,Run20200122Order306Sample149
Run20200122Order306Sample150,RH,2019,MP,Ext,3,Run20200122Order306Sample150
Run20200122Order306Sample151,RH,2019,MP,Ext,4,Run20200122Order306Sample151
Run20200122Order306Sample152,RH,2019,CT,Int,1,Run20200122Order306Sample152
Run20200220Order306Sample153,RH,2019,CT,Int,2,Run20200220Order306Sample153
Run20200220Order306Sample154,RH,2019,CT,Int,3,Run20200220Order306Sample154
Run20200220Order306Sample155,RH,2019,CT,Int,4,Run20200220Order306Sample155
Run20200220Order306Sample156,RH,2019,CT,Ext,1,Run20200220Order306Sample156
Run20200220Order306Sample157,RH,2019,CT,Ext,2,Run20200220Order306Sample157
Run20200220Order306Sample158,RH,2019,CT,Ext,3,Run20200220Order306Sample158
Run20200220Order306Sample159,RH,2019,CT,Ext,4,Run20200220Order306Sample159
