Experimental_Year,Date,Block,Tillage,Fertilization,C[%],C/N,N[%],Fe[mg/100g],K2O[mg/100g],Cu[mg/kg],Mg[mg/100g],Mn[mg/kg],Na[mg/kg],NH4-N[mg/100g],NO3-N[mg/100g],OM[%],P2O5[mg/100g],pH,DM[%],Zn[mg/kg]
2019,2019-07-02T00:00:00,A1,Cultivator,extensive,2.3262033,12.3734218085106,0.188,4.28974,48.75,3.5788,11.3528887,269.6792,12.8477,0.031,0.476,3.7131565444,36.1,7.15,91.6,6.0602
2019,2019-07-02T00:00:00,A1,Cultivator,intensive,2.3098979,11.7851933673469,0.196,4.11641,41.85,3.7743,13.9447999,282.1156,13.8542,0.021,1.17,3.9303548568,39.95,7.13,91.5,6.1658
2019,2019-07-02T00:00:00,A1,Plough,intensive,1.755,13.3969465648855,0.131,1.92627,17.75,1.7241,6.9520237,30.0491,10.2854,0.022,0.787,2.8247660696,18.8,7.56,91.8,2.112
2019,2019-07-02T00:00:00,A1,Plough,extensive,1.6516242,13.31955,0.124,2.01051,16.9,2.0215,6.6795577,39.7003,10.4243,0.017,0.259,2.5364837892,21.05,7.48,91.4,2.3579
2019,2019-07-02T00:00:00,B1,Cultivator,extensive,2.0799353,12.7603392638037,0.163,2.66977,49.3,2.7671,8.3772069,128.163,12.4256,0.024,0.396,3.30195996,40.6,7.38,91.8,5.1275
2019,2019-07-02T00:00:00,B1,Cultivator,intensive,2.3158495,12.7947486187845,0.181,4.54707,51.15,2.8011,8.4908449,108.909,12.75,0.018,0.982,3.6425677092,47.25,7.35,91.3,4.848
2019,2019-07-02T00:00:00,B1,Plough,intensive,1.9446489,15.19256953125,0.128,1.47804,15.1,1.3234,7.0185565,14.2649,10.5928,0.028,1.435,2.5090435708,15.85,7.59,91.2,1.9427
2019,2019-07-02T00:00:00,B1,Plough,extensive,1.6599228,14.0671423728814,0.118,1.70561,21.9,1.8862,6.9523793,27.828,11.4372,0.032,0.273,2.3833712116,28.35,7.56,92.0,2.416
2019,2019-07-02T00:00:00,A3,Cultivator,extensive,2.0831268,11.1397155080214,0.187,3.82858,43.2,2.9895,9.6917547,196.2577,11.3978,0.031,0.443,3.4033339184,34.65,7.33,91.6,5.2209
2019,2019-07-02T00:00:00,A3,Cultivator,intensive,2.3079995,12.0208307291667,0.192,3.21817,45.5,3.3909,11.0242228,199.7976,14.5136,0.017,1.075,3.7761109904,43.05,7.36,91.6,5.4493
2019,2019-07-02T00:00:00,A3,Plough,intensive,1.9523256,14.2505518248175,0.137,1.67241,23.1,1.4262,6.9260801,19.951,10.8819,0.024,1.169,2.6653460656,20.4,7.54,90.4,2.1308
2019,2019-07-02T00:00:00,A3,Plough,extensive,1.6862917,13.17415390625,0.128,1.87893,18.8,2.0466,6.8024165,34.3212,11.0456,0.022,0.249,2.5330599252,23.3,7.45,91.6,2.5102
2019,2019-07-02T00:00:00,B3,Cultivator,extensive,2.3037352,13.0154531073446,0.177,2.42363,57.15,2.5941,8.2177795,98.3052,13.0638,0.035,0.427,3.5453213516,42.9,7.42,92.4,4.7831
2019,2019-07-02T00:00:00,B3,Cultivator,intensive,2.3550637,12.9399104395604,0.182,5.89275,53.25,2.5945,8.4647227,90.6182,13.3072,0.021,0.994,3.6668516284,49.95,7.41,91.8,4.9326
2019,2019-07-02T00:00:00,B3,Plough,intensive,1.908042,15.0239527559055,0.127,1.483,15.1,1.3515,6.7052215,14.9326,10.1142,0.018,1.48,2.496017544,16.6,7.61,91.2,1.9273
2019,2019-07-02T00:00:00,B3,Plough,extensive,1.6413671,13.7930008403361,0.119,1.90639,16.55,1.6941,6.5401126,22.7182,10.4082,0.015,0.213,2.345090826,22.3,7.56,91.7,2.6835
2020,2020-07-15T00:00:00,B1,Cultivator,extensive,2.11,11.7222222222222,0.18,2.0,22.1,2.3,8.3,108.0,9.0,0.025,0.387,3.5,8.2,7.5,81.2,3.1
2020,2020-07-15T00:00:00,B1,Cultivator,intensive,2.14,11.8888888888889,0.18,2.4,22.5,2.5,9.3,121.0,9.0,0.06,0.541,3.6,10.3,7.5,80.7,3.5
2020,2020-07-15T00:00:00,B1,Plough,intensive,1.71,12.2142857142857,0.14,2.7,13.5,2.7,8.4,135.0,12.0,0.054,0.578,2.8,21.7,7.5,78.1,4.2
2020,2020-07-15T00:00:00,B1,Plough,extensive,1.82,12.1333333333333,0.15,2.3,17.4,2.6,7.5,104.0,12.0,0.052,0.436,3.0,11.3,7.6,81.1,4.1
2020,2020-07-15T00:00:00,A2,Cultivator,extensive,2.04,11.3333333333333,0.18,2.2,20.3,2.5,8.3,128.0,9.0,0.026,0.319,3.5,8.6,7.5,84.3,3.4
2020,2020-07-15T00:00:00,A2,Cultivator,intensive,2.08,11.5555555555556,0.18,2.2,19.4,2.4,8.3,117.0,8.0,0.05,0.493,3.5,8.9,7.5,83.5,3.4
2020,2020-07-15T00:00:00,A2,Plough,intensive,1.78,11.8666666666667,0.15,3.0,17.8,3.2,9.2,169.0,12.0,0.048,0.708,2.9,14.3,7.5,87.8,4.2
2020,2020-07-15T00:00:00,A2,Plough,extensive,1.75,11.6666666666667,0.15,2.6,18.5,3.2,8.2,160.0,11.0,0.045,0.312,2.9,11.2,7.5,87.2,4.0
2020,2020-07-15T00:00:00,B2,Cultivator,extensive,1.96,12.25,0.16,2.2,21.7,2.6,8.5,118.0,12.0,0.04,0.657,3.2,9.3,7.5,81.9,3.5
2020,2020-07-15T00:00:00,B2,Cultivator,intensive,2.15,11.9444444444444,0.18,3.0,20.8,2.8,10.8,200.0,9.0,0.062,0.488,3.5,8.1,7.4,88.0,3.9
2020,2020-07-15T00:00:00,B2,Plough,intensive,1.87,11.6875,0.16,2.3,23.2,2.6,9.4,124.0,11.0,0.044,0.618,3.1,14.3,7.4,80.2,4.0
2020,2020-07-15T00:00:00,B2,Plough,extensive,1.84,12.2666666666667,0.15,2.5,20.3,2.7,8.4,128.0,12.0,0.082,0.285,3.1,10.5,7.5,79.2,4.3
2020,2020-07-15T00:00:00,A3,Cultivator,extensive,2.05,12.0588235294118,0.17,2.2,20.9,2.5,8.6,122.0,10.0,0.033,0.317,3.4,8.6,7.5,81.5,3.5
2020,2020-07-15T00:00:00,A3,Cultivator,intensive,2.08,12.2352941176471,0.17,2.1,18.5,2.5,8.9,128.0,9.0,0.075,0.456,3.3,9.9,7.5,83.2,3.5
2020,2020-07-15T00:00:00,A3,Plough,intensive,1.78,11.8666666666667,0.15,2.8,19.3,3.1,8.7,159.0,12.0,0.039,0.854,2.9,11.5,7.5,88.2,4.2
2020,2020-07-15T00:00:00,A3,Plough,extensive,1.74,12.4285714285714,0.14,2.7,21.0,3.0,8.1,141.0,11.0,0.069,0.435,2.9,11.4,7.5,86.6,4.1
2021,2021-07-26T00:00:00,B1,Cultivator,extensive,1.9721577726218098,10.379777750641104,0.19,2.0,39.2,2.3,8.3,88.0,7.0,,0.54,3.4,16.7,7.4,87.7,4.1
2021,2021-07-26T00:00:00,B1,Cultivator,intensive,2.146171693735499,10.219865208264281,0.21,2.8,41.0,2.7,10.1,181.0,7.0,,0.807,3.7,31.2,7.3,87.2,5.1
2021,2021-07-26T00:00:00,B1,Plough,intensive,1.5081206496519721,9.425754060324826,0.16,4.8,23.2,3.2,9.8,305.0,7.0,0.05,0.378,2.6,11.1,7.2,87.5,4.8
2021,2021-07-26T00:00:00,B1,Plough,extensive,1.5661252900232019,9.78828306264501,0.16,3.0,22.8,2.7,7.8,190.0,7.0,0.038,0.264,2.7,13.0,7.4,87.4,4.0
2021,2021-07-26T00:00:00,A2,Cultivator,extensive,2.0301624129930396,10.150812064965198,0.2,2.4,37.5,3.0,9.1,169.0,6.0,0.058,0.417,3.5,15.8,7.5,85.1,4.3
2021,2021-07-26T00:00:00,A2,Cultivator,intensive,2.2041763341067284,10.018983336848766,0.22,3.7,37.9,3.4,13.4,306.0,8.0,0.063,0.982,3.8,17.9,7.2,86.4,5.1
2021,2021-07-26T00:00:00,A2,Plough,intensive,1.5661252900232019,10.440835266821347,0.15,3.4,22.3,3.0,7.7,219.0,8.0,0.028,0.383,2.7,12.0,7.4,88.2,4.3
2021,2021-07-26T00:00:00,A2,Plough,extensive,1.5081206496519721,10.05413766434648,0.15,2.7,20.4,2.6,7.5,144.0,10.0,0.041,0.405,2.6,12.0,7.4,86.4,3.7
2021,2021-07-26T00:00:00,B2,Cultivator,extensive,1.9721577726218098,10.379777750641104,0.19,3.6,35.2,2.2,8.5,90.0,8.0,0.036,0.385,3.4,14.8,7.4,89.3,4.3
2021,2021-07-26T00:00:00,B2,Cultivator,intensive,2.0881670533642693,9.94365263506795,0.21,2.7,43.3,2.6,9.8,144.0,8.0,,0.797,3.6,27.5,7.4,86.1,5.0
2021,2021-07-26T00:00:00,B2,Plough,intensive,1.6241299303944314,9.553705472908419,0.17,5.0,24.5,3.2,10.5,318.0,7.0,0.08,0.528,2.8,13.2,7.1,86.9,5.1
2021,2021-07-26T00:00:00,B2,Plough,extensive,1.6241299303944314,10.150812064965196,0.16,3.1,25.5,2.8,7.9,211.0,8.0,0.062,0.252,2.8,12.6,7.4,86.9,4.3
2021,2021-07-26T00:00:00,A3,Cultivator,extensive,1.9721577726218098,9.860788863109049,0.2,2.5,36.6,3.2,9.1,164.0,7.0,0.038,0.517,3.4,16.3,7.4,86.8,4.4
2021,2021-07-26T00:00:00,A3,Cultivator,intensive,2.0301624129930396,9.667440061871618,0.21,3.7,36.4,3.4,13.2,292.0,7.0,,0.835,3.5,21.6,7.2,85.7,5.0
2021,2021-07-26T00:00:00,A3,Plough,intensive,1.5661252900232019,9.78828306264501,0.16,4.0,23.9,3.2,8.9,273.0,7.0,0.035,0.463,2.7,16.0,7.3,86.7,4.8
2021,2021-07-26T00:00:00,A3,Plough,extensive,1.5081206496519721,10.05413766434648,0.15,2.5,21.9,2.5,7.0,127.0,6.0,0.022,0.377,2.6,12.4,7.5,88.4,3.7
